STATEFP,COUNTYFP,COUNAME,STNAME,POPULATION,LATITUDE,LONGITUDE
37,105,Lee,North Carolina,57866,+35.459779,-079.173135
37,107,Lenoir,North Carolina,59495,+35.262323,-077.631874
37,109,Lincoln,North Carolina,78265,+35.485027,-081.178511
37,111,McDowell,North Carolina,44996,+35.667958,-082.021507
37,113,Macon,North Carolina,33922,+35.157148,-083.380756
37,115,Madison,North Carolina,20764,+35.839078,-082.638666
37,117,Martin,North Carolina,24505,+35.832740,-077.100767
37,119,Mecklenburg,North Carolina,919628,+35.223469,-080.816620
37,121,Mitchell,North Carolina,15579,+35.962278,-082.114348
37,123,Montgomery,North Carolina,27798,+35.338988,-079.882040
37,125,Moore,North Carolina,88247,+35.244618,-079.446780
37,127,Nash,North Carolina,95840,+35.947411,-077.923901
37,129,New Hanover,North Carolina,202667,+34.211687,-077.879277
37,131,Northampton,North Carolina,22099,+36.431948,-077.434731
37,133,Onslow,North Carolina,177772,+34.741545,-077.400612
37,135,Orange,North Carolina,133801,+35.978596,-079.081244
37,137,Pamlico,North Carolina,13144,+35.105356,-076.775886
37,139,Pasquotank,North Carolina,40661,+36.293502,-076.246298
37,141,Pender,North Carolina,52217,+34.469476,-077.836015
37,143,Perquimans,North Carolina,13453,+36.181299,-076.424403
37,145,Person,North Carolina,39464,+36.373422,-078.970901
37,147,Pitt,North Carolina,168148,+35.579170,-077.381178
37,149,Polk,North Carolina,20510,+35.258669,-082.175450
37,151,Randolph,North Carolina,141752,+35.766292,-079.827981
37,153,Richmond,North Carolina,46639,+34.943604,-079.733496
37,155,Robeson,North Carolina,134168,+34.674582,-079.093867
37,157,Rockingham,North Carolina,93643,+36.402247,-079.772606
37,159,Rowan,North Carolina,138428,+35.620395,-080.521966
37,161,Rutherford,North Carolina,67810,+35.348446,-081.894978
37,163,Sampson,North Carolina,63431,+35.033839,-078.396164
37,165,Scotland,North Carolina,36157,+34.786334,-079.478680
37,167,Stanly,North Carolina,60585,+35.321525,-080.247474
37,169,Stokes,North Carolina,47401,+36.350640,-080.273917
37,171,Surry,North Carolina,73673,+36.431314,-080.656971
37,173,Swain,North Carolina,13981,+35.438412,-083.413457
37,175,Transylvania,North Carolina,33090,+35.210200,-082.745507
37,177,Tyrrell,North Carolina,4407,+35.907144,-076.238874
37,179,Union,North Carolina,201292,+35.013609,-080.619702
37,181,Vance,North Carolina,45422,+36.331178,-078.402101
37,183,Wake,North Carolina,900993,+35.797203,-078.673074
37,185,Warren,North Carolina,20972,+36.409715,-078.138543
37,187,Washington,North Carolina,13228,+35.864206,-076.649275
37,189,Watauga,North Carolina,51079,+36.220299,-081.685479
37,191,Wayne,North Carolina,122623,+35.370731,-077.988459
37,193,Wilkes,North Carolina,69340,+36.193059,-081.134214
37,195,Wilson,North Carolina,81234,+35.726988,-077.931323
37,197,Yadkin,North Carolina,38406,+36.163573,-080.675351
37,199,Yancey,North Carolina,17818,+35.910155,-082.292339
